Source,CH1
Second,Volt
-0.02114800000,90.00000,
-0.02114400156,90.00000,
-0.02114000000,88.00000,
-0.02113600000,90.00000,
-0.02113200000,88.00000,
-0.02112800000,90.00000,
-0.02112400000,90.00000,
-0.02112000000,90.00000,
-0.02111600000,90.00000,
-0.02111200000,90.00000,
-0.02110800000,88.00000,
-0.02110400000,90.00000,
-0.02110000000,90.00000,
-0.02109600000,90.00000,
-0.02109200000,88.00000,
-0.02108800000,90.00000,
-0.02108400000,90.00000,
-0.02108000000,90.00000,
-0.02107600000,88.00000,
-0.02107200000,90.00000,
-0.02106800000,90.00000,
-0.02106400000,90.00000,
-0.02106000000,90.00000,
-0.02105600000,90.00000,
-0.02105199844,90.00000,
-0.02104800000,88.00000,
-0.02104399844,90.00000,
-0.02104000000,88.00000,
-0.02103599844,90.00000,
-0.02103200000,90.00000,
-0.02102800156,90.00000,
-0.02102400000,90.00000,
-0.02102000156,88.00000,
-0.02101600000,88.00000,
-0.02101200000,90.00000,
-0.02100800000,90.00000,
-0.02100400000,90.00000,
-0.02100000000,90.00000,
-0.02099600000,90.00000,
-0.02099200000,90.00000,
-0.02098800000,90.00000,
-0.02098400000,90.00000,
-0.02098000000,90.00000,
-0.02097600000,88.00000,
-0.02097200000,88.00000,
-0.02096800000,88.00000,
-0.02096400000,90.00000,
-0.02096000000,88.00000,
-0.02095600000,90.00000,
-0.02095200000,90.00000,
-0.02094800000,90.00000,
-0.02094400000,90.00000,
-0.02094000000,90.00000,
-0.02093600000,90.00000,
-0.02093200000,90.00000,
-0.02092799844,90.00000,
-0.02092400000,90.00000,
-0.02091999844,88.00000,
-0.02091600000,88.00000,
-0.02091199844,88.00000,
-0.02090800000,90.00000,
-0.02090400156,90.00000,
-0.02090000000,90.00000,
-0.02089600156,88.00000,
-0.02089200000,90.00000,
-0.02088800000,90.00000,
-0.02088400000,90.00000,
-0.02088000000,88.00000,
-0.02087600000,90.00000,
-0.02087200000,88.00000,
-0.02086800000,90.00000,
-0.02086400000,88.00000,
-0.02086000000,90.00000,
-0.02085600000,90.00000,
-0.02085200000,88.00000,
-0.02084800000,88.00000,
-0.02084400000,90.00000,
-0.02084000000,88.00000,
-0.02083600000,90.00000,
-0.02083200000,90.00000,
-0.02082800000,90.00000,
-0.02082400000,90.00000,
-0.02082000000,90.00000,
-0.02081600000,90.00000,
-0.02081199844,90.00000,
-0.02080800000,90.00000,
-0.02080399844,88.00000,
-0.02080000000,90.00000,
-0.02079599844,88.00000,
-0.02079200000,90.00000,
-0.02078799844,90.00000,
-0.02078400000,90.00000,
-0.02078000156,90.00000,
-0.02077600000,88.00000,
-0.02077200000,90.00000,
-0.02076800000,90.00000,
-0.02076400000,90.00000,
-0.02076000000,90.00000,
-0.02075600000,90.00000,
-0.02075200000,90.00000,
-0.02074800000,90.00000,
-0.02074400000,90.00000,
-0.02074000000,90.00000,
-0.02073600000,90.00000,
-0.02073200000,90.00000,
-0.02072800000,88.00000,
-0.02072400000,88.00000,
-0.02072000000,90.00000,
-0.02071600000,90.00000,
-0.02071200000,90.00000,
-0.02070800000,90.00000,
-0.02070400000,90.00000,
-0.02070000000,88.00000,
-0.02069600000,90.00000,
-0.02069200000,88.00000,
-0.02068799844,90.00000,
-0.02068400000,90.00000,
-0.02067999844,88.00000,
-0.02067600000,88.00000,
-0.02067199844,88.00000,
-0.02066800000,90.00000,
-0.02066399844,88.00000,
-0.02066000000,88.00000,
-0.02065600156,88.00000,
-0.02065200000,88.00000,
-0.02064800000,88.00000,
-0.02064400000,90.00000,
-0.02064000000,88.00000,
-0.02063600000,90.00000,
-0.02063200000,88.00000,
-0.02062800000,88.00000,
-0.02062400000,88.00000,
-0.02062000000,88.00000,
-0.02061600000,88.00000,
-0.02061200000,90.00000,
-0.02060800000,88.00000,
-0.02060400000,88.00000,
-0.02060000000,90.00000,
-0.02059600000,88.00000,
-0.02059200000,90.00000,
-0.02058800000,88.00000,
-0.02058400000,90.00000,
-0.02058000000,90.00000,
-0.02057600000,88.00000,
-0.02057200000,88.00000,
-0.02056800000,88.00000,
-0.02056399844,88.00000,
-0.02056000000,88.00000,
-0.02055599844,88.00000,
-0.02055200000,88.00000,
-0.02054799844,88.00000,
-0.02054400000,88.00000,
-0.02054000156,88.00000,
-0.02053600000,88.00000,
-0.02053200156,90.00000,
-0.02052800000,88.00000,
-0.02052400000,88.00000,
-0.02052000000,88.00000,
